,,,,
Период,Артикул,Описание,Категория,"Себестоимость 
единицы, c НДС
 6_25 РУБ"
июнь 2025,Прочее,HNG1-1W,Вешалка шкаф белая,723
июнь 2025,Прочее,SHC1-2,Обувница,0
июнь 2025,Прочее,SHC1-1BR,Обувница кор.,0
июнь 2025,Прочее,AT-003BK,Вешалка,859
июнь 2025,Прочее,AT-003W,Вешалка,859
июнь 2025,Прочее,B-MCM1-1,Микротоковый массажер для лица,656
июнь 2025,Прочее,B-MG1-1,Массажный пистолет AQRA,1 922
,,K-EBR-1-1,,0
,,AT-001W,,0
,,AT-002BE,,0
,,AT-002G,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
